,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Amh,4.951301210947221,-0.3797395904448267,0.8556430146969082,-0.4438061012855235,0.6571827768521487,0.9996638889971189
Amhr2,1.760897577909087,0.6129524570983194,1.5026294674438152,0.40791989667355455,0.6833324848115652,0.9996638889971189
Amigo3,4.96720273028481,-0.2427889551418617,0.9355523358276452,-0.2595140280709963,0.7952386598469915,0.9996638889971189
Amy1,66.24670866429258,-0.026280957784421844,0.2469415573546906,-0.10642582020600772,0.9152445078480604,0.9996638889971189
Amy2a5,46.697939300106476,0.21927893030755008,0.2853181931258931,0.7685417039312176,0.4421654241655667,0.9996638889971189
Anapc11,226.98433048157463,0.08201989623888319,0.1521006248733679,0.539247595512308,0.5897160230312648,0.9996638889971189
Anapc15,24.982402387596334,0.12312041297531824,0.39607370744928866,0.3108522748662431,0.7559129273132366,0.9996638889971189
Anapc16,329.9812445826994,0.05663597848003834,0.12881601206806353,0.43966567176534804,0.6601792689596497,0.9996638889971189
Anapc2,687.411623576285,-0.0905407612999556,0.10030985282700636,-0.9026108477708719,0.3667324672276251,0.9996638889971189
Anapc4,526.977134933903,-0.0738062766834637,0.10428086066162438,-0.7077643607387737,0.4790916017903517,0.9996638889971189
Anapc5,638.8816883839148,-0.000697763116758586,0.10518469464674987,-0.006633694370668085,0.9947071165002721,0.9996638889971189
Ang,1.047858918598074,-2.3792642593336035,2.2136744912149036,-1.0748031242966627,0.2824628813835348,0.9996638889971189
Angpt1,24.1145160345737,0.47778593464347546,0.4344357727124512,1.099784973185708,0.2714258210921465,0.9996638889971189
Angpt2,12.630790321261507,0.05557633802165383,0.5739241074359043,0.09683569186516632,0.9228568791072879,0.9996638889971189
Angpt4,0.44532133955377073,2.3115083224903707,3.3060623503076108,0.6991726342593926,0.4844441504536544,0.9996638889971189
Angptl3,0.19311995885281633,0.9696559469615652,4.4278623964229755,0.2189896297917696,0.8266581259447914,0.9996638889971189
Angptl4,8.585617025674217,0.6372823138443316,0.6644580727219871,0.9591008673183418,0.3375079335330148,0.9996638889971189
Angptl8,0.0,,,,,
Ank,955.3247831691134,0.05437569023893973,0.08918776350966935,0.6096765755657114,0.5420760745389671,0.9996638889971189
Ank1,230.76413516417946,-0.12485156893305045,0.15565793136668146,-0.8020893496197066,0.42250127530319603,0.9996638889971189
Ank2,991.1276775848792,-0.02070999292513209,0.09516831836559447,-0.21761436243491747,0.8277295930600861,0.9996638889971189
Ankle2,670.5258568633202,-0.055793429464224775,0.09813795986523086,-0.5685203721459441,0.5696816765981387,0.9996638889971189
Ankrd11,523.4796271412155,-0.030526981897938336,0.11158711511080623,-0.2735708497134726,0.7844144382062683,0.9996638889971189
