,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Tgfb1,0.21477710138566647,0.26675869802483926,0.0,0.37725376862771665,0.0,1.0,1.0,22.73785922620372,1.0,21.417368222726527,24.058350229680915,19.24409339963466,26.231625052772785
Tgfb1i1,0.20084562637227493,0.31066597533640206,0.0,0.43934803568860525,0.0,1.0,1.0,13.410827208689104,1.0,12.541201731565627,14.280452685812584,13.45420701392294,13.367447403455268
Tgfb2,-0.11903821724630635,0.1535491293324357,0.0,0.217151261192511,0.0,1.0,1.0,187.2498713356275,1.0,194.92807400398146,179.57166866727349,206.90332873506517,167.59641393618983
Tgfb3,-0.16040259603585075,0.239044864365368,0.0,0.3380604892011404,0.0,1.0,1.0,50.14165720583875,1.0,49.927789139748164,50.35552527192934,50.40862060778176,49.87469380389573
Tgfbr1,0.06754183810104494,0.1583764757732779,0.0,0.22397815999942353,0.0,1.0,1.0,64.25607672334442,1.0,63.419576319399404,65.09257712728942,66.11016123870581,62.40199220798303
Tgfbr2,0.046657042682141936,0.22449468807840392,0.0,0.3174834325611964,0.0,1.0,1.0,39.23222273636963,1.0,37.1437145033375,41.32073096940176,41.91324333402607,36.55120213871317
Tgfbr3,-0.026716141561341646,0.1936087715229406,0.0,0.27380415048213647,0.0,1.0,1.0,44.77485610961369,1.0,44.36659823845338,45.18311398077396,47.82771983017975,41.72199238904759
Tgif2,0.4257582953610876,0.5966660771506143,0.0,0.8438132585143502,0.0,1.0,1.0,3.6028969288966777,1.0,3.7541704486296648,3.4516234091636906,3.459962869453888,3.745830988339467
Tgm2,-0.01131863086370422,0.23564083782786285,0.0,0.3332464687051227,0.0,1.0,1.0,44.4135556832258,1.0,42.0544919373171,46.7726194291345,42.813141185432016,46.013970181019594
Tgs1,0.10178050027414931,0.14461150551403876,0.0,0.20451155237314522,0.0,1.0,1.0,73.34117966589844,1.0,71.32181759090231,75.36054174089453,71.73868629015287,74.943673041644
Th,-0.5076676284763909,0.8187792656695341,0.0,1.1579287420997386,0.0,1.0,1.0,2.096150500496256,1.0,2.463364442379875,1.7289365586126373,2.0598207646532596,2.1324802363392523
Thap12,-0.11131187582159849,0.12694340220063952,0.0,0.179525081045927,0.0,1.0,1.0,279.83652600022384,1.0,283.08924175498186,276.58381024546594,261.27996849134325,298.3930835091046
