,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Cyp21a1,0.7577618335947606,1.4104453161667885,2.283529315592543,0.6176602623561233,0.536799311567816,0.9995545441197232
Cyp24a1,0.628404560763851,1.1986956078607263,2.5764740945262483,0.465246520586941,0.6417549277425443,0.9995545441197232
Cyp26a1,3.1193202160281337,-0.8159657071276272,1.1056841046963857,-0.7379736252531971,0.46053047658806345,0.9995545441197232
Cyp26b1,55.516219532822994,-0.47759725488434895,0.2991127120598765,-1.596713331223259,0.1103296226351816,0.9995545441197232
Cyp27a1,85.04506898027937,-0.12698746075625938,0.2459253521717574,-0.516365879462357,0.6055988919053463,0.9995545441197232
Cyp27b1,3.2538240606266133,-0.9555258149149186,1.050574487897065,-0.9095269549402392,0.36307203612864414,0.9995545441197232
Cyp2a5,0.2678249218324113,1.361758675756916,3.9784418283299927,0.3422844255406729,0.7321368551303503,0.9995545441197232
Cyp2c29,0.0918139010052935,0.5213445237123804,4.437599094558824,0.1174834663076321,0.9064769452826117,0.9995545441197232
Cyp2e1,1.0517360755597658,0.6761753003937746,2.0044188689392946,0.33734231445925045,0.7358588648450857,0.9995545441197232
Cyp2g1,0.3028980842421287,-0.4388127967686578,3.713177679144381,-0.11817716109663041,0.9059272859370462,0.9995545441197232
Cyp2r1,28.567577675142985,0.3094089284768332,0.3662810419835439,0.8447309388475919,0.398261081219746,0.9995545441197232
Cyp3a13,7.537861834781071,1.1693552470927937,0.7336788416278277,1.5938244102805559,0.11097536856875496,0.9995545441197232
Cyp7a1,0.0,,,,,
Cyp7b1,1366.503476799133,0.050090922143851586,0.13761954457272152,0.3639811648801259,0.7158720743504381,0.9995545441197232
Cyp8b1,0.47890910506924644,0.40204366376959694,2.8425660524251546,0.14143687652450174,0.8875248238145048,0.9995545441197232
Cyren,8.023967732779706,0.09687415118765969,0.7193474982288824,0.13466947674965876,0.8928732073284106,0.9995545441197232
Cysltr1,7.064727528617603,-0.059936245168739674,0.7053145410738929,-0.08497803700102703,0.9322788514738103,0.9995545441197232
D1Ertd622e,294.2096467929402,-0.1362611798400533,0.1423849064140484,-0.9569917435195862,0.3385714223820603,0.9995545441197232
D1Pas1,0.3028980842421287,-0.4388127967686578,3.713177679144381,-0.11817716109663041,0.9059272859370462,0.9995545441197232
Daam2,2815.0208823942253,-0.07743566627240686,0.15804592664088096,-0.4899567354770215,0.6241645142061545,0.9995545441197232
Dab2,142.9565308531189,-0.27206414596794465,0.1860844721579015,-1.462046471760875,0.14372847559309013,0.9995545441197232
